tau [fm]		R_PiNS^-1
98.55		-0.003863
98.65		-0.00385783
98.75		-0.00385268
98.85		-0.00384756
98.95		-0.00384245
99.05		-0.00383736
99.15		-0.00383229
99.25		-0.00382724
99.35		-0.00382221
99.45		-0.0038172
99.55		-0.00381221
99.65		-0.00380723
99.75		-0.00380228
99.85		-0.00379734
99.95		-0.00379243
